stranka,stranka_short_name
A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,A-SDA
A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI (Sa koalicionim partnerima),A-SDA
A-SDA ZA EVROPSKU BIH,A-SDA
STRANKA DEMOKRATSKE AKTIVNOSTI - A SDA,A-SDA
STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,A-SDA
STRANKA DEMOKRATSKE AKTIVNOSTI A-SDA,A-SDA
STRANKA DEMOKRATSKE AKTIVNOSTI ZA EVROPSKU BIH A-SDA,A-SDA
STRANKA DEVIZNIH ŠTEDIŠA RS,SDŠ RS
BOSANSKA DEMOKRATSKA STRANKA,BDS
BOSANSKO HERCEGOVAČKA PODRINJSKA NARODNA STRANKA,BPNS
BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,BNS
BOSS - BOSANSKA STRANKA,BOSS
BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS
BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BOSS
PATRIOTSKI BLOK BOSS - SDU BIH,BOSS – SDU
BOSANSKO PODRINJSKA NARODNA STRANKA,BPNS
BOSANSKOHERCEGOVAČKA PATRIOTSKA STRANKA - BPS,BPS
BOSANSKOHERCEGOVAČKA PATRIOTSKA STRANKA-SEFER HALILOVIĆ,BPS
BPS - SEFER HALILOVIĆ,BPS
BPS-SEFER HALILOVIĆ,BPS
DEMOKRATI BOSNE I HERCEGOVINE,DBIH
DEMOKRATSKA FRONTA,DF
DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,DF
"DF-GS,ŽELJKO KOMŠIĆ:BIH POBJEĐUJE!",DF – GS
DEMOKRATSKA  NARODNA ZAJEDNICA BiH - DNZ BiH,DNZ
DEMOKRATSKA  NARODNA ZAJEDNICA BiH - DNZ BIH,DNZ
DEMOKRATSKA  NARODNA ZAJEDNICA BIH - DNZ BIH,DNZ
DEMOKRATSKA NARODNA ZAJEDNICA - DNZ BIH,DNZ
"DEMOKRATSKA NARODNA ZAJEDNICA - DNZ BIH
",DNZ
DEMOKRATSKA NARODNA ZAJEDNICA BIH,DNZ
DEMOKRATSKA STRANKA BOSNE I HERCEGOVINE,DSBIH
DEMOKRATSKA STRANKA INVALIDA,DSI
DEMOKRATSKA STRANKA INVALIDA BIH,DSI
DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DSI
EVROPSKA EKOLOŠKA STRANKA E-5,E5
EKOLOŠKA STRANKA E5 - ZELENI,E5 – ZELENI
GRAÐANSKA DEMOKRATSKA STRANKA BIH,GDS
GRAĐANSKA DEMOKRATSKA STRANKA BOSNE I HERCEGOVINE,GDS
GRAÐANSKA DEMOKRATSKA STRANKA BOSNE I HERCEGOVINE,GDS
GRAĐANSKA DEMOKRATSKA STRANKA BOSNE I HERCEGOVINE-GDS BIH,GDS
KOALICIJA PREOKRET: GDS BIH I NEP BIH,GDS – NEP
"KOALICIJA PREOKRET: GDS BIH I NEP BIH
",GDS – NEP
GORAŽDANSKA PRIČA,GorPri
GRAĐANSKI SAVEZ,GS
GRAĐANSKI SAVEZ (GS),GS
HRVATSKA DEMOKRATSKA UNIJA BIH,HDU
HDZ - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,HDZ
HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH,HDZ
HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,HDZ
